STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
tfaer,5,NA,0,0,11729.74,415.2,1843.47,46.75,0,0,326597.84,38161,17921.16,3016.5,13.31,17.67
tha,3,NA,4,15387.26,45544.82,28,30729.75,1.5,0,0,339557.71,30834,82468.92,1939,13298.77,77
thank,5,69.4875,3,267.28,11851.94,306.2,3472.52,46.25,100.11,8.33,267305.54,27293.8,57937.06,2530.25,6097.57,223.33
thantboard,10,NA,0,0,1021.82,453.1,136.38,49.78,11.11,9.62,287810.23,31594.4,34092.53,2483.56,3173.94,304.25
the,3,61445.7,5,866.51,70679.83,39.33,63586.7,2,61445.7,1,386059.67,38031,121677.52,2407,85471.41,582
them,4,2305.28,7,937.83,24886.27,138.25,13599.42,14.33,5587.55,4,315224.54,32209.75,84955.59,2144,44210.14,342
then,4,1820,7,1621.7,26564.78,150,15803.83,17,6625.17,3.5,361224.3,38245.75,96057.69,3631.33,45125.65,358.5
ther,4,NA,6,1478.76,24363.33,137,13377.79,17.33,4434.85,2.5,350269.73,38363,102910.95,5280.33,51261.46,641.5
think,5,800.297,6,98.75,12564.75,285.4,5784.17,50.75,1278.96,10.33,252034.67,28595.2,59577.02,4348,5663.49,330.67
through,7,956.346,0,0,3960.19,439.43,1183.65,34,972.23,7,235648.79,24408.71,34711.28,1756.5,3336.75,221.6
tice,4,NA,13,152.6,24574.73,236,1303.63,18.67,89.03,4,333884.97,43178.75,22620.65,4796.33,2987.79,621.5
time,4,1770.21,10,5.6,24790.78,235.75,3582,18.33,1777.91,3,330404.94,41208,23338.23,4191,3055.73,222.5
timelly,7,NA,0,0,4563.06,683.43,679.21,85.17,120.48,9.4,248778.17,33227.71,20908.4,3681.67,2682.97,404.8
tister,6,NA,6,15.39,8891.01,912.5,2369.79,226.6,605.93,41.5,352952.64,46422.83,39643.59,7633.4,4694.13,1190
tok,3,NA,10,141.97,30822.34,58.33,709.84,5,0,0,248816.93,25537,21356.23,1305.5,17.07,19
totoseneian,11,NA,0,0,1089.58,477.36,52.28,30.5,5.94,4,363415.53,44449,27439.77,2961.3,1021.48,213
toy,3,13.8618,16,122.2,33128.99,70.67,858.18,8,13.86,1,265020.97,26866.67,20211.59,1240,32.19,4
tried,5,215.066,8,14.52,13746.16,493.6,1586.39,106.5,363.54,14.67,325642.67,42125.4,20760.49,4757.5,2258.33,521.33
trood,5,NA,2,4.11,9591.27,336.4,1053.69,46.5,165.67,7.33,289550.63,33077.4,12642.6,2235.5,1668.41,305.67
truck,5,25.7604,4,22.22,8628.03,258,768.08,39,131.86,6.33,180153.79,24753.6,6846.41,1635.25,767.97,200.33
trull,5,NA,3,13.52,9914.72,293.6,2182.67,36,116.05,4.33,218614.46,30951.6,12342.43,2279,888.5,207.67
twew,4,NA,2,0.09,15418.14,115.75,318.42,10.67,0,0.5,274528.62,27893.5,7068.23,507.67,494.8,21.5
two,3,1346.02,2,527.52,24957.76,26,1346.02,1,1346.02,1,269211.45,25491,6074.42,397,1393.02,32
ud,2,NA,10,445.52,2227.59,5,0,0,NA,NA,142158.89,19831.5,2390.89,608,NA,NA
uffive,6,NA,0,0,4674.67,343,285.65,16.6,101.91,4.75,195902.93,25285.67,9923.31,1358.4,1866.59,341
ujst,4,NA,0,0,9767.95,102.75,2040.24,14.33,0,0,194825.52,27160.5,11207.03,2200,0,0
umly,4,NA,1,24.27,6268.11,84.5,646.57,4,0,0,117603.02,17910.25,6786.83,1613,49.11,10.5
underchime,10,NA,0,0,2111.16,626.6,443.46,90.56,148.3,28.62,262599.7,34302.2,26010.28,3353.33,2807.49,482.38
understand,10,188.949,0,0,2339.42,681.4,583.71,107.56,288.82,32.88,282604.87,37243.3,35293.35,4667,7574.72,886
unger,5,NA,2,312.55,7734.2,298,2294.34,60.5,60.07,3.67,250564.55,35379.4,31806.4,5888.75,1679.56,310
uoy,3,NA,6,49.45,11572.75,59,148.35,3,0,0,173593.15,20286.33,791.7,213.5,7.32,9
up,2,2509.11,11,174.75,3470.25,6.5,2509.11,1,NA,NA,98240.63,17354,5390.88,667,NA,NA
upending,8,0.118986,2,23.89,4044.73,999.88,1754.48,422.86,1004.14,225.33,230882.02,32778.38,34168.31,5208.14,6602.41,1508.83
utashing,8,NA,1,0,4051.46,1033,1730.09,422.43,1015.43,229.5,259557.82,33228.25,31976.2,4639.86,6372.15,1428.67
vesural,7,NA,0,0,4532.44,537.71,787.65,65.17,260.57,7.8,248395.65,35578.57,23133.33,4772.5,1379.47,244.6
vlei,4,NA,0,0,7328.18,100.25,35.58,6.33,0,0,259470.88,36711.75,10898.16,1988.33,21.3,14.5
vosery,6,NA,0,0,5761.35,557.33,564.84,73.6,31.69,7,245319.88,33619.33,22416.85,3474,1917.17,203.75
waay,4,NA,3,3.75,21917.68,237.5,902.17,17.67,0,0,233907.27,24442.75,9847.72,569.67,0,0
want,4,604.922,13,63.38,22579.96,269.5,2200.56,38,607.27,4,288251.72,30983.5,37799.83,3807.67,2666.32,532.5
wared,5,NA,15,5.85,12414.78,538.6,1729.81,118.5,97.71,16.33,280939.84,34167.4,37580.76,5076.75,4508.44,454
warpen,6,NA,3,4.4,8652.25,895.67,892.89,106.2,67.03,8,267263.48,34128.67,22648.82,3034.2,1054.15,187.25
wase,4,NA,15,44.32,24775.83,279,1648.98,31.33,261.38,3.5,314778.32,40291.5,26820.91,2370.33,6435.37,142
wass,4,NA,13,33.65,18721.27,313.25,1649.73,32.33,132.34,4,250388.47,37140.5,21338.1,2364.33,6884.66,284.5
watch,5,110.597,8,22.42,8513.32,311,1819.15,52,403.74,11.33,245526.46,24014,21160.59,2890.25,945.26,232.33
waves,5,35.2197,19,8.15,11796.13,714,1903.81,123.5,188.77,17,260049.03,33360.2,23199.38,4132.25,2686.63,232.67
wawed,5,NA,12,3.2,10962.93,475.4,1117.2,89,10.65,8,250823.84,27283.4,19200.46,2379.25,261.23,49.67
ways,4,149.089,16,54.2,16416.82,283,1221.8,23,570.54,6.5,204393.89,26689.5,10967.47,719.67,2454.82,150.5
we,2,3317.08,11,1608.93,12166.18,6.5,3317.08,1,NA,NA,306803.05,34206.5,14486.49,789,NA,NA
went,4,693.21,18,93.33,21234.43,228.25,3338.5,27.33,1131.46,6.5,323128.19,36381.25,29503.45,3852.67,7801.91,1046.5
wews,4,NA,12,16.21,15234.23,248.75,2147.27,19.33,96.23,3.5,242413.21,31055.5,6553.94,526.33,209.35,40.5
whose,5,229.285,5,261.19,14371.94,316.6,3560.31,42,1066.43,7.33,289032.66,32998.4,18913.09,1841.25,3377.37,146.67
will,4,2105.87,17,96.28,16600.78,191.25,6173.81,38.33,2328.16,8.5,184456.21,28006.25,16563.03,2125,3844.84,319
winner,6,10.5302,5,35.8,8338.3,876.5,2087.46,200.4,256.19,24.5,289228.07,38990.33,36847.78,5923.4,1244.78,276.25
winter,6,81.981,3,3.73,8651.08,900.17,2562.65,228.8,561.95,35.75,306806.45,38879,44301.52,7379.6,5188.78,1060.75
wirtoul,7,NA,0,0,5240.62,653.14,658.95,70,5.6,3.2,234843.53,30293,21146.15,1852.33,1418.94,80.2
wist,4,NA,11,41.52,21253.82,207.75,5694.98,28.33,134.81,4,263415.29,35605.25,27151.88,4031.67,2356.09,735
without,7,595.76,0,0,4289.33,534.14,979.19,55.83,625.08,9.4,266836.87,27709,42902.27,2175.5,6647.61,244.4
wndo,4,NA,1,4.05,9034.57,74.25,18.11,3,2.02,0.5,217144.23,24580.75,19114.12,1313.67,393.34,68
woft,4,NA,6,14.55,19894.93,221.5,701.84,14,41.91,1,225617.16,21085,15330.5,401.33,309.87,23.5
wood,4,66.8104,11,131.96,18422.01,228.5,2354.92,30.67,687.32,5,226246.18,23186.25,8607.57,1021.33,1296.61,169
work,4,800.297,9,52.08,17643.94,237,2421.1,28.33,1034.67,5.5,172370.55,20671.75,16610.12,1726,2685.47,226
wread,5,NA,4,23.46,10739.37,311,1193.34,36.5,446.33,8.33,280939.84,34167.4,24907.43,2939.75,3445.74,358
wto,3,NA,3,1585.56,9067.75,20.67,0,0.5,0,0,269211.45,25491,19606.19,1131.5,10.05,9
if,2,2869.34,7,9813.77,37217.52,4.5,2869.34,1,NA,NA,200130.14,28128.5,6793.9,931,NA,NA
yammering,9,0.0594928,1,5,3631.15,1035.44,1319.36,400,635.94,219,234145.66,31916.33,29968.56,5295.12,5530.17,1386.57
yes,3,384.383,5,96.57,13707,46.33,625.8,3.5,384.38,1,288253.84,41136.67,20102.51,6058,874.25,26
yos,3,NA,9,747.24,18576.92,55.67,3170.37,4,0,0,222200.43,31082.67,9145.94,872.5,1.07,1
you,3,6334.67,4,0.18,13540.51,48,6335.03,3,6334.67,1,173593.15,20286.33,25312.53,1668,8726.22,25
ypla,4,NA,0,0,3890.02,77.25,1.07,1.67,0,0,177536.15,24131,7674.41,1658.33,1516.5,218.5
zembering,9,NA,0,0,3916.68,1045.56,1282.83,399,632.48,218.14,237059.67,33082,29828.99,5262.38,5778.1,1391.14
in.,2,18707,9,3654.57,35152.56,5.5,18707,1,NA,NA,296072.09,43640,79789.4,12894,NA,NA
xIf,2,2869.34,7,9813.77,37217.52,4.5,2869.34,1,NA,NA,200130.14,28128.5,6793.9,931,NA,NA
